produto,ano_mes,volume,ano,mes
Vendas Internas / Domestic Sales (*),2013_abr,2074.205,2013,abr
Laminados / Rolled Products,2013_abr,2010.304,2013,abr
Planos / Flat Products,2013_abr,1137.847,2013,abr
Longos / Long Products,2013_abr,872.457,2013,abr
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_abr,63.900999999999996,2013,abr
Placas / Slabs,2013_abr,38.753,2013,abr
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_abr,25.148,2013,abr
Vendas Externas / Foreign Market (**),2013_abr,596.758,2013,abr
Laminados / Rolled Products,2013_abr,194.73399999999998,2013,abr
Planos / Flat Products,2013_abr,98.464,2013,abr
Longos / Long Products,2013_abr,96.27,2013,abr
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_abr,402.024,2013,abr
Placas / Slabs,2013_abr,348.159,2013,abr
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_abr,53.865,2013,abr
Laminados / Rolled Products,2013_abr,292.66200000000003,2013,abr
Planos / Flat Products,2013_abr,184.042,2013,abr
Longos / Long Products,2013_abr,108.62,2013,abr
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_abr,524.697,2013,abr
Placas / Slabs,2013_abr,462.41,2013,abr
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_abr,62.287,2013,abr
Total (Mil t / Thousand Tonnes),2013_abr,817.359,2013,abr
(US$ Milhões / US$ Millions),2013_abr,539.518,2013,abr
Laminados / Rolled Products,2013_abr,329.344,2013,abr
Planos / Flat Products,2013_abr,188.103,2013,abr
Longos / Long Products,2013_abr,141.24099999999999,2013,abr
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_abr,0.523,2013,abr
Total (Mil t / Thousand Tonnes),2013_abr,329.867,2013,abr
(US$ Milhões / US$ Millions),2013_abr,373.559,2013,abr
Consumo Aparente / Apparent Consumption (***),2013_abr,2402.633,2013,abr
"Planos / Flat Products
(Inclui Placas / Included Slabs)",2013_abr,1367.514,2013,abr
"Longos / Long Products
(Inclui Blocos e Tarugos / Included Ingots, Blooms and Billets)",2013_abr,1035.119,2013,abr
Aço Bruto / Crude Steel,2013_mai,2999.775,2013,mai
Laminados / Rolled Products (*),2013_mai,2354.716,2013,mai
Planos / Flat Products,2013_mai,1311.414,2013,mai
Longos / Long Products,2013_mai,1043.302,2013,mai
"Semiacabados P/ Vendas /
Semifinished Products for Sale (*)",2013_mai,442.191,2013,mai
Placas / Slabs,2013_mai,346.131,2013,mai
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_mai,96.06,2013,mai
Ferro-Gusa / Pig Iron,2013_mai,2240.067,2013,mai
Vendas Internas / Domestic Sales (*),2013_mai,2193.013,2013,mai
Laminados / Rolled Products,2013_mai,2129.468,2013,mai
Planos / Flat Products,2013_mai,1228.2969999999998,2013,mai
Longos / Long Products,2013_mai,901.171,2013,mai
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_mai,63.545,2013,mai
Placas / Slabs,2013_mai,23.967,2013,mai
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_mai,39.578,2013,mai
Vendas Externas / Foreign Market (**),2013_mai,491.64699999999993,2013,mai
Laminados / Rolled Products,2013_mai,172.323,2013,mai
Planos / Flat Products,2013_mai,87.111,2013,mai
Longos / Long Products,2013_mai,85.212,2013,mai
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_mai,319.32399999999996,2013,mai
Placas / Slabs,2013_mai,292.198,2013,mai
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_mai,27.126,2013,mai
Laminados / Rolled Products,2013_mai,253.85499999999996,2013,mai
Planos / Flat Products,2013_mai,148.10099999999997,2013,mai
Longos / Long Products,2013_mai,105.754,2013,mai
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_mai,353.76800000000003,2013,mai
Placas / Slabs,2013_mai,321.5,2013,mai
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_mai,32.268,2013,mai
Total (Mil t / Thousand Tonnes),2013_mai,607.623,2013,mai
(US$ Milhões / US$ Millions),2013_mai,507.626,2013,mai
Laminados / Rolled Products,2013_mai,264.948,2013,mai
Planos / Flat Products,2013_mai,148.58599999999998,2013,mai
Longos / Long Products,2013_mai,116.362,2013,mai
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_mai,1.496,2013,mai
Total (Mil t / Thousand Tonnes),2013_mai,266.44399999999996,2013,mai
(US$ Milhões / US$ Millions),2013_mai,342.873,2013,mai
Consumo Aparente / Apparent Consumption (***),2013_mai,2456.82,2013,mai
"Planos / Flat Products
(Inclui Placas / Included Slabs)",2013_mai,1403.178,2013,mai
"Longos / Long Products
(Inclui Blocos e Tarugos / Included Ingots, Blooms and Billets)",2013_mai,1053.642,2013,mai
Aço Bruto / Crude Steel,2013_jun,2836.535,2013,jun
Laminados / Rolled Products (*),2013_jun,2284.417,2013,jun
Planos / Flat Products,2013_jun,1285.362,2013,jun
Longos / Long Products,2013_jun,999.055,2013,jun
"Semiacabados P/ Vendas /
Semifinished Products for Sale (*)",2013_jun,330.286,2013,jun
Placas / Slabs,2013_jun,266.185,2013,jun
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_jun,64.101,2013,jun
Ferro-Gusa / Pig Iron,2013_jun,2123.028,2013,jun
Vendas Internas / Domestic Sales (*),2013_jun,2123.3329999999996,2013,jun
Laminados / Rolled Products,2013_jun,2079.9809999999998,2013,jun
Planos / Flat Products,2013_jun,1225.625,2013,jun
Longos / Long Products,2013_jun,854.356,2013,jun
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_jun,43.352000000000004,2013,jun
Placas / Slabs,2013_jun,15.375,2013,jun
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_jun,27.977,2013,jun
Vendas Externas / Foreign Market (**),2013_jun,554.775,2013,jun
Laminados / Rolled Products,2013_jun,255.27499999999998,2013,jun
Planos / Flat Products,2013_jun,159.878,2013,jun
Longos / Long Products,2013_jun,95.397,2013,jun
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_jun,299.5,2013,jun
Placas / Slabs,2013_jun,274.882,2013,jun
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_jun,24.618,2013,jun
Laminados / Rolled Products,2013_jun,223.07799999999997,2013,jun
Planos / Flat Products,2013_jun,112.148,2013,jun
Longos / Long Products,2013_jun,110.92999999999999,2013,jun
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_jun,319.883,2013,jun
Placas / Slabs,2013_jun,271.33,2013,jun
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_jun,48.553,2013,jun
Total (Mil t / Thousand Tonnes),2013_jun,542.961,2013,jun
(US$ Milhões / US$ Millions),2013_jun,386.179,2013,jun
Laminados / Rolled Products,2013_jun,238.591,2013,jun
Planos / Flat Products,2013_jun,133.037,2013,jun
Longos / Long Products,2013_jun,105.554,2013,jun
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_jun,1.723,2013,jun
Total (Mil t / Thousand Tonnes),2013_jun,240.31400000000002,2013,jun
(US$ Milhões / US$ Millions),2013_jun,354.886,2013,jun
Consumo Aparente / Apparent Consumption (***),2013_jun,2358.624,2013,jun
